,id,release_date,original_title,title,Wikipedia movie ID
0,335983,2018-09-28,Venom,Venom,55612024
1,580489,2021-09-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage,59135372
2,824003,2023-11-30,Diabolik chi sei?,Diabolik - Who Are You?,75511353
3,569094,2023-05-31,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,59183000
4,566525,2021-09-01,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,59233722
5,299536,2018-04-25,Avengers: Infinity War,Avengers: Infinity War,44240443
6,453395,2022-05-04,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,59353603
7,640146,2023-02-15,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,62221565
8,155,2008-07-16,The Dark Knight,The Dark Knight,4276475
9,414906,2022-03-01,The Batman,The Batman,47200019
10,475557,2019-10-01,Joker,Joker,57687434
11,447365,2023-05-03,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,51126744
12,284054,2018-02-13,Black Panther,Black Panther,41677925
13,177572,2014-10-24,Big Hero 6,Big Hero 6,39345917
14,609681,2023-11-08,The Marvels,The Marvels,61442008
15,299534,2019-04-24,Avengers: Endgame,Avengers: Endgame,44254295
16,1726,2008-04-30,Iron Man,Iron Man,5676692
17,24428,2012-04-25,The Avengers,The Avengers,22114132
18,298618,2023-06-13,The Flash,The Flash,43563602
19,791373,2021-03-18,Zack Snyder's Justice League,Zack Snyder's Justice League,64017869
20,293660,2016-02-09,Deadpool,Deadpool,43867095
21,284053,2017-10-02,Thor: Ragnarok,Thor: Ragnarok,41974555
22,284052,2016-10-25,Doctor Strange,Doctor Strange,41668588
23,561,2005-02-08,Constantine,Constantine,1210303
24,283995,2017-04-19,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,43402974
25,559,2007-05-01,Spider-Man 3,Spider-Man 3,702117
26,557,2002-05-01,Spider-Man,Spider-Man,146947
27,315635,2017-07-05,Spider-Man: Homecoming,Spider-Man: Homecoming,45359871
28,616037,2022-07-06,Thor: Love and Thunder,Thor: Love and Thunder,60754840
29,271110,2016-04-27,Captain America: Civil War,Captain America: Civil War,41974496
30,324857,2018-12-06,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,59183000
31,436270,2022-10-19,Black Adam,Black Adam,57126738
32,76338,2013-10-30,Thor: The Dark World,Thor: The Dark World,32267545
33,505642,2022-11-09,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,57234452
34,141052,2017-11-15,Justice League,Justice League,44120383
35,436969,2021-07-28,The Suicide Squad,The Suicide Squad,49632909
36,99861,2015-04-22,Avengers: Age of Ultron,Avengers: Age of Ultron,36484254
37,49026,2012-07-17,The Dark Knight Rises,The Dark Knight Rises,29075630
38,1930,2012-06-23,The Amazing Spider-Man,The Amazing Spider-Man,25862453
39,263115,2017-02-28,Logan,Logan,43655965
40,127585,2014-05-15,X-Men: Days of Future Past,X-Men: Days of Future Past,36613262
41,429617,2019-06-28,Spider-Man: Far From Home,Spider-Man: Far From Home,52179698
42,383498,2018-05-10,Deadpool 2,Deadpool 2,47495546
43,287947,2019-03-29,Shazam!,Shazam!,43613050
44,10138,2010-04-28,Iron Man 2,Iron Man 2,22144721
45,36647,1998-08-21,Blade,Blade,471544
46,1724,2008-06-12,The Incredible Hulk,The Incredible Hulk,5476946
47,299537,2019-03-06,Captain Marvel,Captain Marvel,43603241
48,752,2006-02-23,V for Vendetta,V for Vendetta,1891886
49,526896,2022-03-30,Morbius,Morbius,56842267
50,10195,2011-04-21,Thor,Thor,12673434
51,464052,2020-12-16,Wonder Woman 1984,Wonder Woman 1984,54426188
52,272,2005-06-10,Batman Begins,Batman Begins,481605
53,209112,2016-03-23,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2619910
54,1250,2007-01-15,Ghost Rider,Ghost Rider,2246413
55,16237,2006-09-15,Teen Titans: Trouble in Tokyo,Teen Titans: Trouble in Tokyo,6816652
56,320288,2019-06-05,Dark Phoenix,Dark Phoenix,53852716
57,456740,2019-04-10,Hellboy,Hellboy,53997522
58,854,1994-07-29,The Mask,The Mask,1485962
59,567604,2018-12-11,Once Upon a Deadpool,Once Upon a Deadpool,47495546
60,363088,2018-07-04,Ant-Man and the Wasp,Ant-Man and the Wasp,48122556
61,476669,2021-12-22,The King's Man,The King's Man,59223253
62,68721,2013-04-18,Iron Man 3,Iron Man 3,22144990
63,102382,2014-04-16,The Amazing Spider-Man 2,The Amazing Spider-Man 2,35625166
64,524434,2021-11-03,Eternals,Eternals,61329320
65,308531,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,62227751
66,246655,2016-05-18,X-Men: Apocalypse,X-Men: Apocalypse,43530847
67,497698,2021-01-01,Black Widow,Black Widow,37497391
68,4513,2007-10-17,30 Days of Night,30 Days of Night,6941760
69,36648,2004-12-08,Blade: Trinity,Blade: Trinity,1129583
70,297762,2017-05-30,Wonder Woman,Wonder Woman,48566181
71,75612,2013-04-10,Oblivion,Oblivion,35164385
72,11253,2008-07-11,Hellboy II: The Golden Army,Hellboy II: The Golden Army,5292154
73,166424,2015-08-05,Fantastic Four,Fantastic Four,39321638
74,495764,2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),57155655
75,838240,2023-12-06,Robot Dreams,Robot Dreams,74621258
76,68735,2016-05-25,Warcraft,Warcraft,39701440
77,98566,2014-08-07,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,62227751
78,184315,2014-07-23,Hercules,Hercules,25462974
79,644124,2022-10-28,Dampyr,Dampyr,71830198
80,624091,2022-11-17,Sri Asih,Sri Asih,75086573
81,36586,2002-03-22,Blade II,Blade II,479757
82,1487,2004-04-02,Hellboy,Hellboy,5292920
83,629542,2022-03-17,The Bad Guys,The Bad Guys,62421259
84,1771,2011-07-22,Captain America: The First Avenger,Captain America: The First Avenger,26999426
85,364,1992-06-19,Batman Returns,Batman Returns,4728
86,146216,2013-07-18,RED 2,RED 2,33651094
87,340102,2020-04-02,The New Mutants,The New Mutants,46796392
88,1498,1990-03-30,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2323962
89,8920,2004-06-10,Garfield,Garfield,348449
