id,release_date,original_title,title
360920,2018-11-08,The Grinch,The Grinch
156022,2014-09-24,The Equalizer,The Equalizer
420818,2019-07-12,The Lion King,The Lion King
564,1999-04-16,The Mummy,The Mummy
474350,2019-09-04,It Chapter Two,It Chapter Two
364689,2017-12-09,Ferdinand,Ferdinand
281957,2015-12-25,The Revenant,The Revenant
63,1995-12-29,Twelve Monkeys,Twelve Monkeys
27582,2011-01-13,The Mechanic,The Mechanic
5503,1993-08-06,The Fugitive,The Fugitive
665,1959-11-18,Ben-Hur,Ben-Hur
111,1983-12-09,Scarface,Scarface
461130,2019-12-06,Code 8,Code 8
321612,2017-03-16,Beauty and the Beast,Beauty and the Beast
1903,2001-12-14,Vanilla Sky,Vanilla Sky
65754,2011-12-14,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
9820,1998-07-28,The Parent Trap,The Parent Trap
64635,2012-08-02,Total Recall,Total Recall
203801,2015-08-13,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.
924,2004-03-19,Dawn of the Dead,Dawn of the Dead
565,2002-10-18,The Ring,The Ring
361292,2018-10-26,Suspiria,Suspiria
10483,2008-08-22,Death Race,Death Race
551808,2019-12-11,Black Christmas,Black Christmas
218043,2014-10-03,Left Behind,Left Behind
1422,2006-10-04,The Departed,The Departed
278927,2016-04-07,The Jungle Book,The Jungle Book
937278,2022-12-28,A Man Called Otto,A Man Called Otto
7978,2010-02-10,The Wolfman,The Wolfman
366672,2022-07-14,Paws of Fury: The Legend of Hank,Paws of Fury: The Legend of Hank
571891,2019-07-12,ミュウツーの逆襲 EVOLUTION,Pokémon the Movie: Mewtwo Strikes Back - Evolution
282035,2017-06-06,The Mummy,The Mummy
1091,1982-06-25,The Thing,The Thing
124905,2014-05-14,Godzilla,Godzilla
46261,2010-11-06,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark
10510,1994-11-18,Miracle on 34th Street,Miracle on 34th Street
818397,2022-04-28,Memory,Memory
347626,2021-08-27,He's All That,He's All That
637920,2019-10-10,7. Koğuştaki Mucize,Miracle in Cell No. 7
360606,2016-06-24,Adventures in Babysitting,Adventures in Babysitting
762430,2023-08-23,Retribution,Retribution
2976,2007-07-19,Hairspray,Hairspray
5516,2004-03-25,The Ladykillers,The Ladykillers
1970,2004-10-22,The Grudge,The Grudge
28211,2010-02-25,Chloe,Chloe
9426,1986-08-15,The Fly,The Fly
294272,2016-08-10,Pete's Dragon,Pete's Dragon
329996,2019-03-27,Dumbo,Dumbo
10730,1976-09-08,King Kong,King Kong
338970,2018-03-05,Tomb Raider,Tomb Raider
454619,2018-04-13,Overboard,Overboard
265208,2015-01-14,Wild Card,Wild Card
375794,2016-09-02,No Manches Frida,No Manches Frida
65086,2012-02-03,The Woman in Black,The Woman in Black
366514,2016-05-04,Un homme à la hauteur,Up for Love
654739,2021-06-23,발신제한,Hard Hit
254,2005-12-12,King Kong,King Kong
9378,2001-10-26,Thir13en Ghosts,Thir13en Ghosts
795,1998-04-10,City of Angels,City of Angels
9792,2006-03-10,The Hills Have Eyes,The Hills Have Eyes
331482,2019-12-25,Little Women,Little Women
9509,2004-04-23,Man on Fire,Man on Fire
12085,2008-01-17,Mad Money,Mad Money
10066,2005-05-05,House of Wax,House of Wax
18990,1959-08-01,The Mummy,The Mummy
333484,2016-09-14,The Magnificent Seven,The Magnificent Seven
19904,2009-10-16,The Stepfather,The Stepfather
4858,2007-08-17,The Invasion,The Invasion
776503,2021-08-13,CODA,CODA
17379,2006-01-13,Last Holiday,Last Holiday
668482,2022-11-25,Roald Dahl's Matilda the Musical,Roald Dahl's Matilda the Musical
9373,2003-05-21,The Texas Chainsaw Massacre,The Texas Chainsaw Massacre
43947,2010-06-17,I Spit on Your Grave,I Spit on Your Grave
467012,2017-09-28,Pengabdi Setan,Satan's Slaves
812037,2023-09-13,L'été dernier,Last Summer
332562,2018-10-03,A Star Is Born,A Star Is Born
226857,2014-02-12,Endless Love,Endless Love
2044,2006-06-16,The Lake House,The Lake House
392044,2017-11-03,Murder on the Orient Express,Murder on the Orient Express
810171,2022-05-11,The Valet,The Valet
37430,2011-08-17,Conan the Barbarian,Conan the Barbarian
362057,2015-10-09,Martyrs,Martyrs
1090,1999-04-16,The Thirteenth Floor,The Thirteenth Floor
567748,2021-09-24,The Guilty,The Guilty
6114,1992-11-13,Bram Stoker's Dracula,Bram Stoker's Dracula
68730,2016-12-22,Silence,Silence
19058,2001-09-06,Down,Down
29427,2010-02-26,The Crazies,The Crazies
34803,2010-04-15,Death at a Funeral,Death at a Funeral
338947,2022-09-28,Hellraiser,Hellraiser
449562,2019-05-09,The Hustle,The Hustle
10141,1988-12-14,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels
9679,2000-06-09,Gone in Sixty Seconds,Gone in Sixty Seconds
257088,2015-12-03,Point Break,Point Break
7445,2009-12-02,Brothers,Brothers
661231,2022-04-01,Operation Mincemeat,Operation Mincemeat
505026,2022-02-09,Death on the Nile,Death on the Nile
391,1964-09-12,Per un pugno di dollari,A Fistful of Dollars
966,1960-10-12,The Magnificent Seven,The Magnificent Seven
68817,2011-10-06,Footloose,Footloose
440472,2019-01-10,The Upside,The Upside
763285,2022-03-16,Ambulance,Ambulance
806,2006-06-06,The Omen,The Omen
10885,2008-03-21,Shutter,Shutter
2020,1999-11-05,The Bachelor,The Bachelor
479,2000-06-15,Shaft,Shaft
20483,2004-02-06,Catch That Kid,Catch That Kid
9291,2005-05-27,The Longest Yard,The Longest Yard
82,2006-07-27,Miami Vice,Miami Vice
395990,2018-03-02,Death Wish,Death Wish
133805,2013-10-16,Carrie,Carrie
364902,2015-10-31,The Dresser,The Dresser
243688,2015-05-20,Poltergeist,Poltergeist
366656,2015-11-12,La guerre des tuques 3D,Snowtime!
830764,2023-09-23,Pet Sematary: Bloodlines,Pet Sematary: Bloodlines
19185,1990-10-19,Night of the Living Dead,Night of the Living Dead
23437,2010-04-30,A Nightmare on Elm Street,A Nightmare on Elm Street
97020,2014-01-30,RoboCop,RoboCop
9833,2004-12-08,The Phantom of the Opera,The Phantom of the Opera
18405,2009-03-13,The Last House on the Left,The Last House on the Left
420808,2023-04-20,Peter Pan & Wendy,Peter Pan & Wendy
574,1956-05-16,The Man Who Knew Too Much,The Man Who Knew Too Much
433498,2017-09-07,Papillon,Papillon
1975,2006-10-12,The Grudge 2,The Grudge 2
271969,2016-08-17,Ben-Hur,Ben-Hur
10200,2008-12-10,The Day the Earth Stood Still,The Day the Earth Stood Still
9560,1995-05-27,A Walk in the Clouds,A Walk in the Clouds
280690,2014-07-25,Kick,Kick
60747,2012-03-15,Red Dawn,Red Dawn
11838,2002-10-18,呪怨,Ju-on: The Grudge
503,2006-05-03,Poseidon,Poseidon
365995,2016-02-14,Inside,Inside
9574,1997-11-26,Flubber,Flubber
2135,2002-03-04,The Time Machine,The Time Machine
485415,2017-12-29,Day of the Dead: Bloodline,Day of the Dead: Bloodline
342878,2015-06-24,Un moment d'égarement,One Wild Moment
277934,2014-03-14,Sadece Sen,Only You
56715,2001-04-06,Just Visiting,Just Visiting
382591,2016-12-07,Demain tout commence,Two Is a Family
157433,2019-04-04,Pet Sematary,Pet Sematary
15137,2007-09-01,ヱヴァンゲリヲン新劇場版：序,Evangelion: 1.0 You Are (Not) Alone
791,2005-10-14,The Fog,The Fog
6878,1993-02-03,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey
359538,2016-04-06,Le Fantôme de Canterville,The Canterville Ghost
64639,2011-09-16,Straw Dogs,Straw Dogs
792678,2021-10-22,CUBE 一度入ったら、最後,Cube
9599,1988-08-05,The Blob,The Blob
7552,2005-12-21,Fun with Dick and Jane,Fun with Dick and Jane
298584,2016-02-12,Cabin Fever,Cabin Fever
10320,2005-03-10,The Ring Two,The Ring Two
11007,2003-12-24,Cheaper by the Dozen,Cheaper by the Dozen
9313,1998-03-12,The Man in the Iron Mask,The Man in the Iron Mask
668742,2020-07-29,Padre no hay más que uno 2: la llegada de la suegra,Father There Is Only One 2
12185,1978-06-28,Heaven Can Wait,Heaven Can Wait
9656,2006-12-15,Black Christmas,Black Christmas
1598,1991-11-13,Cape Fear,Cape Fear
3036,1994-11-04,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein
575604,2020-11-27,콜,The Call
199578,2013-10-15,Patrick,Patrick
10083,1987-08-14,No Way Out,No Way Out
320,2002-05-24,Insomnia,Insomnia
400710,2017-09-28,Flatliners,Flatliners
19025,2007-10-12,भूल भुलैया,Bhool Bhulaiyaa
10776,1986-12-19,Little Shop of Horrors,Little Shop of Horrors
87516,2013-11-14,Oldboy,Oldboy
4722,1993-06-09,Body Snatchers,Body Snatchers
11850,1978-12-20,Invasion of the Body Snatchers,Invasion of the Body Snatchers
15301,1983-06-24,Twilight Zone: The Movie,Twilight Zone: The Movie
14784,2008-01-03,The Fall,The Fall
783461,2022-02-04,लूप लपेटा,Looop Lapeta
13515,2008-08-15,Mirrors,Mirrors
31608,1989-01-27,Three Fugitives,Three Fugitives
1636,2000-10-19,Bedazzled,Bedazzled
638240,2019-12-25,Miracle in Cell No. 7,Miracle in Cell No. 7
1203484,2023-11-29,Monster,Monster
377448,2016-10-20,The Rocky Horror Picture Show: Let's Do the Time Warp Again,The Rocky Horror Picture Show: Let's Do the Time Warp Again
11358,2004-04-02,Walking Tall,Walking Tall
617882,2023-03-15,소울메이트,Soulmate
10007,2006-05-19,See No Evil,See No Evil
1109534,2023-08-24,The Dive,The Dive
36914,1987-10-02,Like Father Like Son,Like Father Like Son
37254,2001-12-20,Mermaid Chronicles Part 1: She Creature,Mermaid Chronicles Part 1: She Creature
11000,1996-03-08,The Birdcage,The Birdcage
8879,1985-06-28,Pale Rider,Pale Rider
633182,2020-01-09,Freies Land,Free Country
18487,2009-06-10,The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3
2212,1997-01-31,Nightwatch,Nightwatch
8487,1999-06-30,Wild Wild West,Wild Wild West
58151,2011-08-18,Fright Night,Fright Night
9038,2007-10-05,The Heartbreak Kid,The Heartbreak Kid
29101,2005-02-03,Vet Hard,Too Fat Too Furious
46845,1971-11-24,Man in the Wilderness,Man in the Wilderness
44982,2010-03-12,13,13
28512,2005-11-20,The Poseidon Adventure,The Poseidon Adventure
500852,2019-02-01,Miss Bala,Miss Bala
691683,2022-03-18,Cheaper by the Dozen,Cheaper by the Dozen
20534,2004-04-02,Murder,Murder
814800,2022-09-16,Goodnight Mommy,Goodnight Mommy
433251,2017-08-11,Naked,Naked
16007,2006-06-17,デスノート,Death Note
407451,2018-03-08,A Wrinkle in Time,A Wrinkle in Time
456154,2018-03-28,Croc-Blanc,White Fang
4520,2007-10-12,Sleuth,Sleuth
10461,2000-10-06,Get Carter,Get Carter
14254,2009-01-30,The Uninvited,The Uninvited
9708,2006-08-31,The Wicker Man,The Wicker Man
8978,2005-01-19,Assault on Precinct 13,Assault on Precinct 13
14435,2009-01-16,My Bloody Valentine,My Bloody Valentine
12219,1997-08-17,12 Angry Men,12 Angry Men
401469,2018-11-06,Widows,Widows
45202,2010-05-13,하녀,The Housemaid
122293,2012-07-27,The Philadelphia Experiment,The Philadelphia Experiment
533642,2019-06-19,Child's Play,Child's Play
6933,2008-01-04,One Missed Call,One Missed Call
8408,1985-07-03,Day of the Dead,Day of the Dead
200823,2013-10-30,Fonzy,Fonzy
548352,2018-10-31,완벽한 타인,Intimate Strangers
928381,2022-02-25,Sans répit,Restless
46918,1959-11-17,浮草,Floating Weeds
20521,2006-03-29,Reefer Madness: The Movie Musical,Reefer Madness: The Movie Musical
9822,1998-12-25,Mighty Joe Young,Mighty Joe Young
15917,2002-07-11,देवदास,Devdas
46717,1994-01-21,Intersection,Intersection
11026,2004-08-20,Exorcist: The Beginning,Exorcist: The Beginning
800823,2021-07-08,A todo tren: destino Asturias,The Kids Are Alright: Destination Asturias
28752,1961-05-01,The Curse of the Werewolf,The Curse of the Werewolf
11859,1995-11-03,Fair Game,Fair Game
199514,1950-01-28,Doña Diabla,The Devil Is a Woman
7342,2002-11-04,Carrie,Carrie
137227,2011-03-05,映画ドラえもん 新・のび太と鉄人兵団 ～はばたけ 天使たち～,Doraemon: Nobita and the New Steel Troops: Winged Angels
11064,1985-05-22,Brewster's Millions,Brewster's Millions
11846,1991-12-20,Father of the Bride,Father of the Bride
413998,2017-06-08,My Cousin Rachel,My Cousin Rachel
13184,2008-08-21,Bangkok Dangerous,Bangkok Dangerous
20364,2004-11-26,Hulchul,Hulchul
279992,2014-08-24,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau
448677,2018-11-30,Head Full of Honey,Head Full of Honey
11027,1981-03-20,The Postman Always Rings Twice,The Postman Always Rings Twice
12700,2005-05-20,Dominion: Prequel to The Exorcist,Dominion: Prequel to The Exorcist
740441,2023-02-17,스마트폰을 떨어뜨렸을 뿐인데,Unlocked
46330,1962-06-25,The Phantom of the Opera,The Phantom of the Opera
29070,1966-03-02,Blood Bath,Blood Bath
11377,1999-10-29,House on Haunted Hill,House on Haunted Hill
6217,1982-04-02,Cat People,Cat People
27088,1982-06-26,The Last American Virgin,The Last American Virgin
215180,2012-08-25,ワンピースエピソード・オブ・ナミ～航海士の涙と仲間の絆～,One Piece Episode of Nami: Tears of a Navigator and the Bonds of Friends
518963,2018-05-22,독전,Believer
555561,2018-12-13,Il testimone invisibile,The Invisible Witness
27646,2011-10-28,Night of the Demons,Night of the Demons
89636,2010-11-11,ドラゴンボール 超サイヤ人絶滅計画,Dragon Ball Z: Plan to Eradicate the Super Saiyans
760099,2022-11-04,Living,Living
800085,2023-01-27,Lobo Feroz,Ferocious Wolf
9009,2005-07-08,Dark Water,Dark Water
1053419,2022-12-20,Reviviendo la Navidad,A Not So Merry Christmas
28768,1988-06-22,Faceless,Faceless
103620,2012-12-26,Maniac,Maniac
399019,2017-06-23,The Beguiled,The Beguiled
16061,2008-10-04,東京残酷警察,Tokyo Gore Police
146239,2013-10-10,Delivery Man,Delivery Man
8333,1974-10-02,The Taking of Pelham One Two Three,The Taking of Pelham One Two Three
38985,1977-06-24,Sorcerer,Sorcerer
659994,2020-10-15,Rams,Rams
10593,1998-11-20,Il fantasma dell'Opera,The Phantom of the Opera
852592,2022-06-15,Centauro,Centauro
222858,1995-09-12,A Bucket of Blood,A Bucket of Blood
13812,2008-10-10,Quarantine,Quarantine
532814,2018-09-09,The Bad Seed,The Bad Seed
276699,2014-09-24,Bloedlink,Reckless
557648,2019-01-27,Rent,Rent
242042,2014-02-02,Barefoot,Barefoot
63647,2004-04-17,கில்லி,Ghilli
9785,2007-04-27,The Invisible,The Invisible
49012,2011-04-08,Arthur,Arthur
26688,2009-09-09,Sorority Row,Sorority Row
10498,1993-03-19,Point of No Return,Point of No Return
14197,2008-05-26,My Sassy Girl,My Sassy Girl
210908,2013-10-31,All Cheerleaders Die,All Cheerleaders Die
499028,2018-03-14,지금 만나러 갑니다,Be with You
1534,2007-01-11,Pathfinder,Pathfinder
17501,2006-10-20,डॉन,Don
33521,1979-07-20,Dracula,Dracula
31676,1990-10-05,Desperate Hours,Desperate Hours
9030,2008-02-01,The Eye,The Eye
5146,2003-05-23,The In-Laws,The In-Laws
222899,2014-02-14,About Last Night,About Last Night
9306,1996-08-23,The Island of Dr. Moreau,The Island of Dr. Moreau
11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II
487476,2018-10-17,Le Jeu,Nothing to Hide
401905,2018-05-12,Fahrenheit 451,Fahrenheit 451
482273,2020-05-08,Valley Girl,Valley Girl
884434,2023-02-17,शहज़ादा,Shehzada
20735,1997-02-14,That Darn Cat,That Darn Cat
28770,1959-06-15,The Man Who Could Cheat Death,The Man Who Could Cheat Death
24070,1994-12-21,Mixed Nuts,Mixed Nuts
26932,1977-07-13,The Island of Dr. Moreau,The Island of Dr. Moreau
1644,1993-02-05,The Vanishing,The Vanishing
18916,2008-01-01,L'Emmerdeur,A Pain in the Ass
8461,2008-03-14,Funny Games,Funny Games
352173,2015-07-30,दृश्यम्,Drishyam
