id,release_date,original_title,title
772,1992-11-15,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York
122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers
809,2004-05-19,Shrek 2,Shrek 2
9714,1997-12-12,Home Alone 3,Home Alone 3
559,2007-05-01,Spider-Man 3,Spider-Man 3
863,1999-10-30,Toy Story 2,Toy Story 2
810,2007-05-17,Shrek the Third,Shrek the Third
8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs
950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown
36669,2002-11-17,Die Another Day,Die Another Day
8856,1986-06-18,The Karate Kid Part II,The Karate Kid Part II
10527,2008-10-30,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa
1369,1985-05-21,Rambo: First Blood Part II,Rambo: First Blood Part II
1734,2001-05-04,The Mummy Returns,The Mummy Returns
13186,2007-08-25,Wrong Turn 2: Dead End,Wrong Turn 2: Dead End
12594,1999-03-12,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies
45233,1983-05-06,Blade Violent - I violenti,Women's Prison Massacre
1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith
15370,2002-07-19,猫の恩返し,The Cat Returns
7555,2008-01-24,Rambo,Rambo
11430,2004-02-06,The Lion King 1½,The Lion King 1½
9021,2002-09-29,The Santa Clause 2,The Santa Clause 2
13767,2006-11-02,The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause
14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True
196,1990-05-25,Back to the Future Part III,Back to the Future Part III
4437,1984-12-06,2010,2010
13683,2002-06-24,Tarzan & Jane,Tarzan & Jane
8961,2003-07-18,Bad Boys II,Bad Boys II
8078,1997-11-12,Alien Resurrection,Alien Resurrection
1979,2007-06-13,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer
10327,2003-07-02,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde"
558,2004-06-25,Spider-Man 2,Spider-Man 2
1573,1990-07-03,Die Hard 2,Die Hard 2
1572,1995-05-19,Die Hard: With a Vengeance,Die Hard: With a Vengeance
8077,1992-05-22,Alien³,Alien³
165,1989-11-22,Back to the Future Part II,Back to the Future Part II
15092,2009-04-16,Crank: High Voltage,Crank: High Voltage
4233,1997-12-12,Scream 2,Scream 2
9335,2005-08-03,Transporter 2,Transporter 2
10014,1985-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge
19286,1995-06-27,Leprechaun 3,Leprechaun 3
1571,2007-06-20,Live Free or Die Hard,Live Free or Die Hard
163,2004-12-09,Ocean's Twelve,Ocean's Twelve
