,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
50,463272,2018-09-13,Johnny English Strikes Again,Johnny English Strikes Again,Johnny English Collection,86117,54749200
51,1241132,,Johnny English 4,Johnny English 4,Johnny English Collection,86117,255858
52,808,2001-05-18,Shrek,Shrek,Shrek Collection,2150,18717177
53,809,2004-05-19,Shrek 2,Shrek 2,Shrek Collection,2150,525314
54,810,2007-05-17,Shrek the Third,Shrek the Third,Shrek Collection,2150,903383
55,10192,2010-05-16,Shrek Forever After,Shrek Forever After,Shrek Collection,2150,27193568
56,421892,2026-07-01,Shrek 5,Shrek 5,Shrek Collection,2150,60200092
57,4156,1971-03-24,Friends,Friends,Friends Collection,321647,5671546
58,4155,1974-03-15,Paul and Michelle,Paul and Michelle,Friends Collection,321647,23484172
59,17965,1971-05-18,The Abominable Dr. Phibes,The Abominable Dr. Phibes,Dr. Phibes Collection,116847,454818
60,18250,1972-07-01,Dr. Phibes Rises Again,Dr. Phibes Rises Again,Dr. Phibes Collection,116847,488623
61,120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings Collection,119,173941
62,121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,The Lord of the Rings Collection,119,173944
63,122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings Collection,119,174251
64,11224,1950-02-22,Cinderella,Cinderella,Cinderella Collection,55419,399402
65,16119,2007-02-06,Cinderella III: A Twist in Time,Cinderella III: A Twist in Time,Cinderella Collection,55419,5150937
66,14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True,Cinderella Collection,55419,4196336
67,10693,1953-02-05,Peter Pan,Peter Pan,Peter Pan Collection,55422,62622958
68,16690,2002-02-14,Return to Never Land,Return to Never Land,Peter Pan Collection,55422,1595142
69,37726,1998-10-06,富江,Tomie,Tomie Collection,139394,33097113
70,52409,2000-02-11,富江 replay,Tomie: Replay,Tomie Collection,139394,20344625
71,52408,2001-03-24,富江 re-birth,Tomie: Rebirth,Tomie Collection,139394,20344329
72,52405,2005-04-09,富江 BEGINNING,Tomie: Beginning,Tomie Collection,139394,20344428
73,52404,1999-12-26,富江 アナザフェイス,Tomie: Another Face,Tomie Collection,139394,20344446
74,85349,2011-05-14,富江 アンリミテッド,Tomie: Unlimited,Tomie Collection,139394,32665218
75,46313,2005-04-16,富江 REVENGE,Tomie: Revenge,Tomie Collection,139394,20344476
76,52407,2002-06-29,富江 最終章～禁断の果実～,Tomie: Forbidden Fruit,Tomie Collection,139394,33103548
77,139396,2007-11-17,富江VS富江,Tomie vs Tomie,Tomie Collection,139394,2373096
78,11298,1981-01-21,The Howling,The Howling,The Howling Collection,174218,1691989
79,29794,1985-08-28,Howling II: Stirba - Werewolf Bitch,Howling II: Stirba - Werewolf Bitch,The Howling Collection,174218,2901971
80,38500,1988-11-01,Howling IV: The Original Nightmare,Howling IV: The Original Nightmare,The Howling Collection,174218,3096248
81,35945,1989-05-01,Howling V: The Rebirth,Howling V: The Rebirth,The Howling Collection,174218,3012123
82,36421,1991-04-18,Howling VI: The Freaks,Howling VI: The Freaks,The Howling Collection,174218,3112333
83,38499,1995-10-17,Howling: New Moon Rising,Howling: New Moon Rising,The Howling Collection,174218,3365981
84,32595,1987-05-15,Howling III: The Marsupials,Howling III: The Marsupials,The Howling Collection,174218,2711278
85,75623,2011-10-18,The Howling: Reborn,The Howling: Reborn,The Howling Collection,174218,32422858
86,24674,2004-03-18,見鬼2,The Eye 2,The Eye Collection,264335,4348164
87,33723,2005-03-24,見鬼10,The Eye 3: Infinity,The Eye Collection,264335,44240443
88,10389,2002-05-09,見鬼,The Eye,The Eye Collection,264335,2192765
89,51322,2010-10-13,童眼,The Child's Eye,The Eye Collection,264335,28829559
90,805,1968-06-12,Rosemary's Baby,Rosemary's Baby,Rosemary's Baby Collection,264338,9830229
91,117258,1976-10-29,Look What's Happened to Rosemary's Baby,Look What's Happened to Rosemary's Baby,Rosemary's Baby Collection,264338,7625729
92,807339,2024-09-20,Apartment 7A,Apartment 7A,Rosemary's Baby Collection,264338,67143812
93,57800,2012-06-27,Ice Age: Continental Drift,Ice Age: Continental Drift,Ice Age Collection,8354,29609480
94,425,2002-03-10,Ice Age,Ice Age,Ice Age Collection,8354,23416020
95,8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,Ice Age Collection,8354,12260598
96,950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown,Ice Age Collection,8354,2303174
97,278154,2016-06-23,Ice Age: Collision Course,Ice Age: Collision Course,Ice Age Collection,8354,47460310
98,774825,2022-01-28,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,Ice Age Collection,8354,68410164
99,1384758,,Ice Age 6,Ice Age 6,Ice Age Collection,8354,63491448
